Уровень программы,year,attenders
5 - ПК,2021,42.0
5 - ПК,2022,22.0
5 - ПК,2023,68.0
5 - ПК,2024,8279.0
5 - ПК,2025,6461.877468799999
5 - ПК,2026,7940.974521599999
5 - ПК государственных гражданских служащих,2024,159.0
5 - ПК государственных гражданских служащих,2025,
5 - ПК государственных гражданских служащих,2026,
6 - ПП,2021,2.0
6 - ПП,2022,127.0
6 - ПП,2023,1010.0
6 - ПП,2024,4098.0
6 - ПП,2025,3639.568619999999
6 - ПП,2026,4445.46884
7 - ДОП,2022,15.0
7 - ДОП,2023,55.0
7 - ДОП,2024,526.0
7 - ДОП,2025,
7 - ДОП,2026,
