Наименование программы,Год,Прибыль,Контингент
Бизнес-медиация,2021,0.0,0.0
Бизнес-медиация,2022,0.0,0.0
Бизнес-медиация,2023,5049600.0,27.0
Бизнес-медиация,2024,23117889.0,71.0
Бизнес-медиация,2025,41015338.75626901,114.99999964237209
Бизнес-медиация,2026,58978260.04633801,158.99999953806395
Дизайн интерьера,2021,0.0,0.0
Дизайн интерьера,2022,84825.0,3.0
Дизайн интерьера,2023,7736726.0,45.0
Дизайн интерьера,2024,29705402.5,200.0
Дизайн интерьера,2025,51495838.00261331,354.9999955296516
Дизайн интерьера,2026,73358422.00411586,509.9999927431344
Доктор делового администрирования - Doctor of Business Administration (DBA),2021,68000.0,1.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2022,0.0,0.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2023,22800000.0,23.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2024,15171500.0,17.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2025,19621544.31320846,23.190820934097164
Доктор делового администрирования - Doctor of Business Administration (DBA),2026,24028748.729768455,28.9688906302951
Клиническая психология,2021,0.0,0.0
Клиническая психология,2022,0.0,0.0
Клиническая психология,2023,0.0,0.0
Клиническая психология,2024,27862125.0,121.0
Клиническая психология,2025,139324.5560625,0.6050605
Клиническая психология,2026,139338.487125,0.605121
Мастер делового администрирования - Маster of Business Administration (МВА),2021,0.0,0.0
Мастер делового администрирования - Маster of Business Administration (МВА),2022,21185100.0,84.0
Мастер делового администрирования - Маster of Business Administration (МВА),2023,80602900.0,103.0
Мастер делового администрирования - Маster of Business Administration (МВА),2024,610000.0,3.0
Мастер делового администрирования - Маster of Business Administration (МВА),2025,79504042.47513932,2.850244226506838
Мастер делового администрирования - Маster of Business Administration (МВА),2026,96538737.82905728,45.42534436593063
Мастер делового администрирования – Master of Business Administration (MBA),2021,0.0,0.0
Мастер делового администрирования – Master of Business Administration (MBA),2022,0.0,0.0
Мастер делового администрирования – Master of Business Administration (MBA),2023,2780000.0,2.0
Мастер делового администрирования – Master of Business Administration (MBA),2024,113148029.85,137.0
Мастер делового администрирования – Master of Business Administration (MBA),2025,221918205.53625873,271.999994084239
Мастер делового администрирования – Master of Business Administration (MBA),2026,331226529.52426744,406.9999901503325
Специалист по Data Science,2021,0.0,0.0
Специалист по Data Science,2022,487875.0,3.0
Специалист по Data Science,2023,15290790.0,57.0
Специалист по Data Science,2024,12416061.45,76.0
Специалист по Data Science,2025,12886830.973265752,94.09320481688619
Специалист по Data Science,2026,13375750.518826617,112.18640965727293
"Управление проектами: методология, технологии, практика",2021,0.0,0.0
"Управление проектами: методология, технологии, практика",2022,0.0,0.0
"Управление проектами: методология, технологии, практика",2023,1945000.0,16.0
"Управление проектами: методология, технологии, практика",2024,28802712.0,100.0
"Управление проектами: методология, технологии, практика",2025,55296644.97033437,183.9924897313922
"Управление проектами: методология, технологии, практика",2026,81915287.13254374,267.98740564289074
"Управление энергетической компанией: стратегии, технологии, практики",2021,0.0,0.0
"Управление энергетической компанией: стратегии, технологии, практики",2022,0.0,0.0
"Управление энергетической компанией: стратегии, технологии, практики",2023,0.0,0.0
"Управление энергетической компанией: стратегии, технологии, практики",2024,30500000.0,61.0
"Управление энергетической компанией: стратегии, технологии, практики",2025,152515.25,0.3050305
"Управление энергетической компанией: стратегии, технологии, практики",2026,152530.5,0.30506099999999997
Финансовый директор,2021,0.0,0.0
Финансовый директор,2022,0.0,0.0
Финансовый директор,2023,7276000.0,68.0
Финансовый директор,2024,56352500.0,273.0
Финансовый директор,2025,104837785.8649525,476.27317595750003
Финансовый директор,2026,153532619.020405,680.236443415
